parameter,description,type,hex_address,address,resolution,alterability
UsrVal.7.Units,Units of the value,uint8,0x0990,2448,Not applicable,RW
UsrVal.7.Resolution,User Value Display Resolution,uint8,0x0991,2449,Not applicable,RW
UsrVal.7.HighLimit,User Value High Limit,float32,0x0992,2450,Set by UsrVal.7.Resolution,RW
UsrVal.7.LowLimit,User Value Low Limit,float32,0x0993,2451,Set by UsrVal.7.Resolution,RW
UsrVal.7.Val,The User Value,float32,0x0994,2452,Set by UsrVal.7.Resolution,RW
UsrVal.7.Status,User Value Status,uint8,0x0995,2453,Not applicable,RW
UsrVal.8.Units,Units of the value,uint8,0x0998,2456,Not applicable,RW
UsrVal.8.Resolution,User Value Display Resolution,uint8,0x0999,2457,Not applicable,RW
UsrVal.8.HighLimit,User Value High Limit,float32,0x099a,2458,Set by UsrVal.8.Resolution,RW
UsrVal.8.LowLimit,User Value Low Limit,float32,0x099b,2459,Set by UsrVal.8.Resolution,RW
UsrVal.8.Val,The User Value,float32,0x099c,2460,Set by UsrVal.8.Resolution,RW
UsrVal.8.Status,User Value Status,uint8,0x099d,2461,Not applicable,RW
UsrVal.9.Units,Units of the value,uint8,0x09a0,2464,Not applicable,RW
UsrVal.9.Resolution,User Value Display Resolution,uint8,0x09a1,2465,Not applicable,RW
UsrVal.9.HighLimit,User Value High Limit,float32,0x09a2,2466,Set by UsrVal.9.Resolution,RW
UsrVal.9.LowLimit,User Value Low Limit,float32,0x09a3,2467,Set by UsrVal.9.Resolution,RW
UsrVal.9.Val,The User Value,float32,0x09a4,2468,Set by UsrVal.9.Resolution,RW
UsrVal.9.Status,User Value Status,uint8,0x09a5,2469,Not applicable,RW
UsrVal.10.Units,Units of the value,uint8,0x09a8,2472,Not applicable,RW
UsrVal.10.Resolution,User Value Display Resolution,uint8,0x09a9,2473,Not applicable,RW
UsrVal.10.HighLimit,User Value High Limit,float32,0x09aa,2474,Set by UsrVal.10.Resolution,RW
UsrVal.10.LowLimit,User Value Low Limit,float32,0x09ab,2475,Set by UsrVal.10.Resolution,RW
UsrVal.10.Val,The User Value,float32,0x09ac,2476,Set by UsrVal.10.Resolution,RW
UsrVal.10.Status,User Value Status,uint8,0x09ad,2477,Not applicable,RW
UsrVal.11.Units,Units of the value,uint8,0x09b0,2480,Not applicable,RW
UsrVal.11.Resolution,User Value Display Resolution,uint8,0x09b1,2481,Not applicable,RW
UsrVal.11.HighLimit,User Value High Limit,float32,0x09b2,2482,Set by UsrVal.11.Resolution,RW
UsrVal.11.LowLimit,User Value Low Limit,float32,0x09b3,2483,Set by UsrVal.11.Resolution,RW
UsrVal.11.Val,The User Value,float32,0x09b4,2484,Set by UsrVal.11.Resolution,RW
UsrVal.11.Status,User Value Status,uint8,0x09b5,2485,Not applicable,RW
UsrVal.12.Units,Units of the value,uint8,0x09b8,2488,Not applicable,RW
UsrVal.12.Resolution,User Value Display Resolution,uint8,0x09b9,2489,Not applicable,RW
UsrVal.12.HighLimit,User Value High Limit,float32,0x09ba,2490,Set by UsrVal.12.Resolution,RW
UsrVal.12.LowLimit,User Value Low Limit,float32,0x09bb,2491,Set by UsrVal.12.Resolution,RW
UsrVal.12.Val,The User Value,float32,0x09bc,2492,Set by UsrVal.12.Resolution,RW
UsrVal.12.Status,User Value Status,uint8,0x09bd,2493,Not applicable,RW
Lgc2.5.Oper,Logic Operation,uint8,0x09c0,2496,Not applicable,RW
Lgc2.5.In1,Input Value 1,float32,0x09c1,2497,"0dp, or if wired, inherited from wire source",RW
Lgc2.5.In2,Input Value 2,float32,0x09c2,2498,"0dp, or if wired, inherited from wire source",RW
Lgc2.5.FallbackType,Fallback Condition,uint8,0x09c3,2499,Not applicable,RW
Lgc2.5.Invert,Sense of Input Value,uint8,0x09c4,2500,Not applicable,RW
Lgc2.5.Out,The Result,bool,0x09c5,2501,Not applicable,RO
Lgc2.5.OutputStatus,Output Status,uint8,0x09c6,2502,Not applicable,RO
Lgc2.6.Oper,Logic Operation,uint8,0x09c8,2504,Not applicable,RW
Lgc2.6.In1,Input Value 1,float32,0x09c9,2505,"0dp, or if wired, inherited from wire source",RW
Lgc2.6.In2,Input Value 2,float32,0x09ca,2506,"0dp, or if wired, inherited from wire source",RW
Lgc2.6.FallbackType,Fallback Condition,uint8,0x09cb,2507,Not applicable,RW
Lgc2.6.Invert,Sense of Input Value,uint8,0x09cc,2508,Not applicable,RW
Lgc2.6.Out,The Result,bool,0x09cd,2509,Not applicable,RO
Lgc2.6.OutputStatus,Output Status,uint8,0x09ce,2510,Not applicable,RO
Lgc2.7.Oper,Logic Operation,uint8,0x09d0,2512,Not applicable,RW
Lgc2.7.In1,Input Value 1,float32,0x09d1,2513,"0dp, or if wired, inherited from wire source",RW
Lgc2.7.In2,Input Value 2,float32,0x09d2,2514,"0dp, or if wired, inherited from wire source",RW
Lgc2.7.FallbackType,Fallback Condition,uint8,0x09d3,2515,Not applicable,RW
Lgc2.7.Invert,Sense of Input Value,uint8,0x09d4,2516,Not applicable,RW
Lgc2.7.Out,The Result,bool,0x09d5,2517,Not applicable,RO
Lgc2.7.OutputStatus,Output Status,uint8,0x09d6,2518,Not applicable,RO
Lgc2.8.Oper,Logic Operation,uint8,0x09d8,2520,Not applicable,RW
Lgc2.8.In1,Input Value 1,float32,0x09d9,2521,"0dp, or if wired, inherited from wire source",RW
Lgc2.8.In2,Input Value 2,float32,0x09da,2522,"0dp, or if wired, inherited from wire source",RW
Lgc2.8.FallbackType,Fallback Condition,uint8,0x09db,2523,Not applicable,RW
Lgc2.8.Invert,Sense of Input Value,uint8,0x09dc,2524,Not applicable,RW
Lgc2.8.Out,The Result,bool,0x09dd,2525,Not applicable,RO
Lgc2.8.OutputStatus,Output Status,uint8,0x09de,2526,Not applicable,RO
Lgc8.3.Oper,Operation,uint8,0x09e0,2528,Not applicable,RW
Lgc8.3.InInvert,Invert Selected Inputs,uint8,0x09e1,2529,Not applicable,RW
Lgc8.3.NumIn,Number of Inputs,uint8,0x09e2,2530,Not applicable,RW
Lgc8.3.In1,Input 1 Value,bool,0x09e3,2531,Not applicable,RW
Lgc8.3.In2,Input 2 Value,bool,0x09e4,2532,Not applicable,RW
Lgc8.3.In3,Input 3 Value,bool,0x09e5,2533,Not applicable,RW
Lgc8.3.In4,Input 4 Value,bool,0x09e6,2534,Not applicable,RW
Lgc8.3.In5,Input 5 Value,bool,0x09e7,2535,Not applicable,RW
Lgc8.3.In6,Input 6 Value,bool,0x09e8,2536,Not applicable,RW
Lgc8.3.In7,Input 7 Value,bool,0x09e9,2537,Not applicable,RW
Lgc8.3.In8,Input 8 Value,bool,0x09ea,2538,Not applicable,RW
Lgc8.3.Out,Output Value,bool,0x09eb,2539,Not applicable,RO
Lgc8.3.OutInvert,Invert the Output,bool,0x09ec,2540,Not applicable,RW
Lgc8.4.Oper,Operation,uint8,0x09f0,2544,Not applicable,RW
Lgc8.4.InInvert,Invert Selected Inputs,uint8,0x09f1,2545,Not applicable,RW
Lgc8.4.NumIn,Number of Inputs,uint8,0x09f2,2546,Not applicable,RW
Lgc8.4.In1,Input 1 Value,bool,0x09f3,2547,Not applicable,RW
Lgc8.4.In2,Input 2 Value,bool,0x09f4,2548,Not applicable,RW
Lgc8.4.In3,Input 3 Value,bool,0x09f5,2549,Not applicable,RW
Lgc8.4.In4,Input 4 Value,bool,0x09f6,2550,Not applicable,RW
Lgc8.4.In5,Input 5 Value,bool,0x09f7,2551,Not applicable,RW
Lgc8.4.In6,Input 6 Value,bool,0x09f8,2552,Not applicable,RW
Lgc8.4.In7,Input 7 Value,bool,0x09f9,2553,Not applicable,RW
Lgc8.4.In8,Input 8 Value,bool,0x09fa,2554,Not applicable,RW
Lgc8.4.Out,Output Value,bool,0x09fb,2555,Not applicable,RO
Lgc8.4.OutInvert,Invert the Output,bool,0x09fc,2556,Not applicable,RW
Mux8.4.Fallback,Fallback Strategy,uint8,0x0a00,2560,Not applicable,RW
Mux8.4.FallbackVal,Fallback Value,float32,0x0a01,2561,"Set by Mux8.4.Resolution, or if wired, inherited from wire source",RW
Mux8.4.Select,Input Selection Switch,uint8,0x0a02,2562,Not applicable,RW
Mux8.4.HighLimit,High Limit,float32,0x0a03,2563,"1dp, or if wired, inherited from wire source",RW
Mux8.4.LowLimit,Low Limit,float32,0x0a04,2564,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In1,Input 1,float32,0x0a05,2565,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In2,Input 2,float32,0x0a06,2566,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In3,Input 3,float32,0x0a07,2567,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In4,Input 4,float32,0x0a08,2568,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In5,Input 5,float32,0x0a09,2569,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In6,Input 6,float32,0x0a0a,2570,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In7,Input 7,float32,0x0a0b,2571,"1dp, or if wired, inherited from wire source",RW
Mux8.4.In8,Input 8,float32,0x0a0c,2572,"1dp, or if wired, inherited from wire source",RW
Mux8.4.Out,Output,float32,0x0a0d,2573,Set by Mux8.4.Resolution,RO
Mux8.4.Resolution,Resolution,uint8,0x0a0e,2574,Not applicable,RO
Mux8.4.Status,Status,uint8,0x0a0f,2575,Not applicable,RO
Math2.5.In1Mul,Input 1 Scale,float32,0x0a10,2576,1dp,RW
Math2.5.In1,Input 1 Value,float32,0x0a11,2577,"0dp, or if wired, inherited from wire source",RW
Math2.5.In2Mul,Input 2 Scale,float32,0x0a12,2578,1dp,RW
Math2.5.In2,Input 2 Value,float32,0x0a13,2579,"0dp, or if wired, inherited from wire source",RW
Math2.5.Oper,Operation,uint8,0x0a14,2580,Not applicable,RW
Math2.5.FallbackVal,Fallback Value,float32,0x0a15,2581,Same as Math2.5.Out,RW
Math2.5.HighLimit,Output High Limit,float32,0x0a16,2582,Same as Math2.5.Out,RW
Math2.5.LowLimit,Output Low Limit,float32,0x0a17,2583,Same as Math2.5.Out,RW
Math2.5.Out,Output Value,float32,0x0a18,2584,Set by Math2.5.Resolution,RO
Math2.5.Resolution,Output Resolution,uint8,0x0a19,2585,Not applicable,RW
Math2.5.Units,Output Units,uint8,0x0a1a,2586,Not applicable,RW
Math2.5.Fallback,Fallback strategy,uint8,0x0a1b,2587,Not applicable,RW
Math2.5.Select,Select Between Input 1 and Input 2,bool,0x0a1c,2588,Not applicable,RW
Math2.5.Status,Status,uint8,0x0a1d,2589,Not applicable,RO
Math2.6.In1Mul,Input 1 Scale,float32,0x0a20,2592,1dp,RW
Math2.6.In1,Input 1 Value,float32,0x0a21,2593,"0dp, or if wired, inherited from wire source",RW
Math2.6.In2Mul,Input 2 Scale,float32,0x0a22,2594,1dp,RW
Math2.6.In2,Input 2 Value,float32,0x0a23,2595,"0dp, or if wired, inherited from wire source",RW
Math2.6.Oper,Operation,uint8,0x0a24,2596,Not applicable,RW
Math2.6.FallbackVal,Fallback Value,float32,0x0a25,2597,Same as Math2.6.Out,RW
Math2.6.HighLimit,Output High Limit,float32,0x0a26,2598,Same as Math2.6.Out,RW
Math2.6.LowLimit,Output Low Limit,float32,0x0a27,2599,Same as Math2.6.Out,RW
Math2.6.Out,Output Value,float32,0x0a28,2600,Set by Math2.6.Resolution,RO
Math2.6.Resolution,Output Resolution,uint8,0x0a29,2601,Not applicable,RW
Math2.6.Units,Output Units,uint8,0x0a2a,2602,Not applicable,RW
Math2.6.Fallback,Fallback strategy,uint8,0x0a2b,2603,Not applicable,RW
Math2.6.Select,Select Between Input 1 and Input 2,bool,0x0a2c,2604,Not applicable,RW
Math2.6.Status,Status,uint8,0x0a2d,2605,Not applicable,RO
Math2.7.In1Mul,Input 1 Scale,float32,0x0a30,2608,1dp,RW
Math2.7.In1,Input 1 Value,float32,0x0a31,2609,"0dp, or if wired, inherited from wire source",RW
Math2.7.In2Mul,Input 2 Scale,float32,0x0a32,2610,1dp,RW
Math2.7.In2,Input 2 Value,float32,0x0a33,2611,"0dp, or if wired, inherited from wire source",RW
Math2.7.Oper,Operation,uint8,0x0a34,2612,Not applicable,RW
Math2.7.FallbackVal,Fallback Value,float32,0x0a35,2613,Same as Math2.7.Out,RW
Math2.7.HighLimit,Output High Limit,float32,0x0a36,2614,Same as Math2.7.Out,RW
Math2.7.LowLimit,Output Low Limit,float32,0x0a37,2615,Same as Math2.7.Out,RW
Math2.7.Out,Output Value,float32,0x0a38,2616,Set by Math2.7.Resolution,RO
Math2.7.Resolution,Output Resolution,uint8,0x0a39,2617,Not applicable,RW
Math2.7.Units,Output Units,uint8,0x0a3a,2618,Not applicable,RW
Math2.7.Fallback,Fallback strategy,uint8,0x0a3b,2619,Not applicable,RW
Math2.7.Select,Select Between Input 1 and Input 2,bool,0x0a3c,2620,Not applicable,RW
Math2.7.Status,Status,uint8,0x0a3d,2621,Not applicable,RO
Math2.8.In1Mul,Input 1 Scale,float32,0x0a40,2624,1dp,RW
Math2.8.In1,Input 1 Value,float32,0x0a41,2625,"0dp, or if wired, inherited from wire source",RW
Math2.8.In2Mul,Input 2 Scale,float32,0x0a42,2626,1dp,RW
Math2.8.In2,Input 2 Value,float32,0x0a43,2627,"0dp, or if wired, inherited from wire source",RW
Math2.8.Oper,Operation,uint8,0x0a44,2628,Not applicable,RW
Math2.8.FallbackVal,Fallback Value,float32,0x0a45,2629,Same as Math2.8.Out,RW
Math2.8.HighLimit,Output High Limit,float32,0x0a46,2630,Same as Math2.8.Out,RW
Math2.8.LowLimit,Output Low Limit,float32,0x0a47,2631,Same as Math2.8.Out,RW
Math2.8.Out,Output Value,float32,0x0a48,2632,Set by Math2.8.Resolution,RO
Math2.8.Resolution,Output Resolution,uint8,0x0a49,2633,Not applicable,RW
Math2.8.Units,Output Units,uint8,0x0a4a,2634,Not applicable,RW
Math2.8.Fallback,Fallback strategy,uint8,0x0a4b,2635,Not applicable,RW
Math2.8.Select,Select Between Input 1 and Input 2,bool,0x0a4c,2636,Not applicable,RW
Math2.8.Status,Status,uint8,0x0a4d,2637,Not applicable,RO
Timer.2.ElapsedTime,Elapsed Time,time_t,0x0a50,2640,Set by Comms.Fixed/Option.Main.TimeFormat,RO
Timer.2.Out,Output,bool,0x0a51,2641,Not applicable,RO
Timer.2.Time,Time,time_t,0x0a52,2642,Set by Comms.Fixed/Option.Main.TimeFormat,RW
Timer.2.Triggered,Triggered Flag,bool,0x0a53,2643,Not applicable,RO
Timer.2.Type,Type of Timer,uint8,0x0a54,2644,Not applicable,RW
Timer.2.In,Trigger/Gate input,bool,0x0a55,2645,Not applicable,RW
Counter.2.Enable,Enable the Counter,bool,0x0a60,2656,Not applicable,RW
Counter.2.Direction,Direction of Count,bool,0x0a61,2657,Not applicable,RW
Counter.2.RippleCarry,Ripple Carry Enable Output,bool,0x0a62,2658,Not applicable,RO
Counter.2.OverFlow,Overflow Flag,bool,0x0a63,2659,Not applicable,RO
Counter.2.Clock,Clock Input,bool,0x0a64,2660,Not applicable,RW
Counter.2.Target,Counter Target,int32,0x0a65,2661,Not applicable,RW
Counter.2.Count,Count Value,int32,0x0a66,2662,Not applicable,RO
Counter.2.Reset,Counter Reset,bool,0x0a67,2663,Not applicable,RW
Counter.2.ClearOverflow,Clear OverFlow Flag,bool,0x0a68,2664,Not applicable,RW
Instrument.OEMConfigList.Parameter1,Parameter that is to be alterable,eint32,0x0a70,2672,Not applicable,RW
Instrument.OEMConfigList.Parameter2,Parameter that is to be alterable,eint32,0x0a71,2673,Not applicable,RW
Instrument.OEMConfigList.Parameter3,Parameter that is to be alterable,eint32,0x0a72,2674,Not applicable,RW
Instrument.OEMConfigList.Parameter4,Parameter that is to be alterable,eint32,0x0a73,2675,Not applicable,RW
Instrument.OEMConfigList.Parameter5,Parameter that is to be alterable,eint32,0x0a74,2676,Not applicable,RW
Instrument.OEMConfigList.Parameter6,Parameter that is to be alterable,eint32,0x0a75,2677,Not applicable,RW
Instrument.OEMConfigList.Parameter7,Parameter that is to be alterable,eint32,0x0a76,2678,Not applicable,RW
Instrument.OEMConfigList.Parameter8,Parameter that is to be alterable,eint32,0x0a77,2679,Not applicable,RW
Instrument.OEMConfigList.Parameter9,Parameter that is to be alterable,eint32,0x0a78,2680,Not applicable,RW
Instrument.OEMConfigList.Parameter10,Parameter that is to be alterable,eint32,0x0a79,2681,Not applicable,RW
Instrument.OEMConfigList.Parameter11,Parameter that is to be alterable,eint32,0x0a7a,2682,Not applicable,RW
Instrument.OEMConfigList.Parameter12,Parameter that is to be alterable,eint32,0x0a7b,2683,Not applicable,RW
Instrument.OEMConfigList.Parameter13,Parameter that is to be alterable,eint32,0x0a7c,2684,Not applicable,RW
Instrument.OEMConfigList.Parameter14,Parameter that is to be alterable,eint32,0x0a7d,2685,Not applicable,RW
Instrument.OEMConfigList.Parameter15,Parameter that is to be alterable,eint32,0x0a7e,2686,Not applicable,RW
Instrument.OEMConfigList.Parameter16,Parameter that is to be alterable,eint32,0x0a7f,2687,Not applicable,RW
Instrument.OEMConfigList.Parameter17,Parameter that is to be alterable,eint32,0x0a80,2688,Not applicable,RW
Instrument.OEMConfigList.Parameter18,Parameter that is to be alterable,eint32,0x0a81,2689,Not applicable,RW
Instrument.OEMConfigList.Parameter19,Parameter that is to be alterable,eint32,0x0a82,2690,Not applicable,RW
Instrument.OEMConfigList.Parameter20,Parameter that is to be alterable,eint32,0x0a83,2691,Not applicable,RW
Instrument.OEMConfigList.Parameter21,Parameter that is to be alterable,eint32,0x0a84,2692,Not applicable,RW
Instrument.OEMConfigList.Parameter22,Parameter that is to be alterable,eint32,0x0a85,2693,Not applicable,RW
Instrument.OEMConfigList.Parameter23,Parameter that is to be alterable,eint32,0x0a86,2694,Not applicable,RW
Instrument.OEMConfigList.Parameter24,Parameter that is to be alterable,eint32,0x0a87,2695,Not applicable,RW
Instrument.OEMConfigList.Parameter25,Parameter that is to be alterable,eint32,0x0a88,2696,Not applicable,RW
Instrument.OEMConfigList.Parameter26,Parameter that is to be alterable,eint32,0x0a89,2697,Not applicable,RW
Instrument.OEMConfigList.Parameter27,Parameter that is to be alterable,eint32,0x0a8a,2698,Not applicable,RW
Instrument.OEMConfigList.Parameter28,Parameter that is to be alterable,eint32,0x0a8b,2699,Not applicable,RW
Instrument.OEMConfigList.Parameter29,Parameter that is to be alterable,eint32,0x0a8c,2700,Not applicable,RW
Instrument.OEMConfigList.Parameter30,Parameter that is to be alterable,eint32,0x0a8d,2701,Not applicable,RW
Instrument.OEMConfigList.Parameter31,Parameter that is to be alterable,eint32,0x0a8e,2702,Not applicable,RW
Instrument.OEMConfigList.Parameter32,Parameter that is to be alterable,eint32,0x0a8f,2703,Not applicable,RW
Instrument.OEMConfigList.Parameter33,Parameter that is to be alterable,eint32,0x0a90,2704,Not applicable,RW
Instrument.OEMConfigList.Parameter34,Parameter that is to be alterable,eint32,0x0a91,2705,Not applicable,RW
Instrument.OEMConfigList.Parameter35,Parameter that is to be alterable,eint32,0x0a92,2706,Not applicable,RW
Instrument.OEMConfigList.Parameter36,Parameter that is to be alterable,eint32,0x0a93,2707,Not applicable,RW
Instrument.OEMConfigList.Parameter37,Parameter that is to be alterable,eint32,0x0a94,2708,Not applicable,RW
Instrument.OEMConfigList.Parameter38,Parameter that is to be alterable,eint32,0x0a95,2709,Not applicable,RW
Instrument.OEMConfigList.Parameter39,Parameter that is to be alterable,eint32,0x0a96,2710,Not applicable,RW
Instrument.OEMConfigList.Parameter40,Parameter that is to be alterable,eint32,0x0a97,2711,Not applicable,RW
Instrument.OEMConfigList.Parameter41,Parameter that is to be alterable,eint32,0x0a98,2712,Not applicable,RW
Instrument.OEMConfigList.Parameter42,Parameter that is to be alterable,eint32,0x0a99,2713,Not applicable,RW
Instrument.OEMConfigList.Parameter43,Parameter that is to be alterable,eint32,0x0a9a,2714,Not applicable,RW
Instrument.OEMConfigList.Parameter44,Parameter that is to be alterable,eint32,0x0a9b,2715,Not applicable,RW
Instrument.OEMConfigList.Parameter45,Parameter that is to be alterable,eint32,0x0a9c,2716,Not applicable,RW
Instrument.OEMConfigList.Parameter46,Parameter that is to be alterable,eint32,0x0a9d,2717,Not applicable,RW
Instrument.OEMConfigList.Parameter47,Parameter that is to be alterable,eint32,0x0a9e,2718,Not applicable,RW
Instrument.OEMConfigList.Parameter48,Parameter that is to be alterable,eint32,0x0a9f,2719,Not applicable,RW
Instrument.OEMConfigList.Parameter49,Parameter that is to be alterable,eint32,0x0aa0,2720,Not applicable,RW
Instrument.OEMConfigList.Parameter50,Parameter that is to be alterable,eint32,0x0aa1,2721,Not applicable,RW
Instrument.OEMConfigList.Parameter51,Parameter that is to be alterable,eint32,0x0aa2,2722,Not applicable,RW
Instrument.OEMConfigList.Parameter52,Parameter that is to be alterable,eint32,0x0aa3,2723,Not applicable,RW
Instrument.OEMConfigList.Parameter53,Parameter that is to be alterable,eint32,0x0aa4,2724,Not applicable,RW
Instrument.OEMConfigList.Parameter54,Parameter that is to be alterable,eint32,0x0aa5,2725,Not applicable,RW
Instrument.OEMConfigList.Parameter55,Parameter that is to be alterable,eint32,0x0aa6,2726,Not applicable,RW
Instrument.OEMConfigList.Parameter56,Parameter that is to be alterable,eint32,0x0aa7,2727,Not applicable,RW
Instrument.OEMConfigList.Parameter57,Parameter that is to be alterable,eint32,0x0aa8,2728,Not applicable,RW
Instrument.OEMConfigList.Parameter58,Parameter that is to be alterable,eint32,0x0aa9,2729,Not applicable,RW
Instrument.OEMConfigList.Parameter59,Parameter that is to be alterable,eint32,0x0aaa,2730,Not applicable,RW
Instrument.OEMConfigList.Parameter60,Parameter that is to be alterable,eint32,0x0aab,2731,Not applicable,RW
Instrument.OEMConfigList.Parameter61,Parameter that is to be alterable,eint32,0x0aac,2732,Not applicable,RW
Instrument.OEMConfigList.Parameter62,Parameter that is to be alterable,eint32,0x0aad,2733,Not applicable,RW
Instrument.OEMConfigList.Parameter63,Parameter that is to be alterable,eint32,0x0aae,2734,Not applicable,RW
Instrument.OEMConfigList.Parameter64,Parameter that is to be alterable,eint32,0x0aaf,2735,Not applicable,RW
Instrument.OEMConfigList.Parameter65,Parameter that is to be alterable,eint32,0x0ab0,2736,Not applicable,RW
Instrument.OEMConfigList.Parameter66,Parameter that is to be alterable,eint32,0x0ab1,2737,Not applicable,RW
Instrument.OEMConfigList.Parameter67,Parameter that is to be alterable,eint32,0x0ab2,2738,Not applicable,RW
Instrument.OEMConfigList.Parameter68,Parameter that is to be alterable,eint32,0x0ab3,2739,Not applicable,RW
